split_name,alpha,seed,n_train,n_test,test_stems,model,d_sp_classical,d_auc_classical,d_f1_classical,d_sp_fixed,d_auc_fixed,d_f1_fixed,d_sp_random,d_auc_random,d_f1_random,p_sp,p_auc,p_f1
scene_loo:scene_auto_00,0.03,11,568,86,00001_depth | 00015_depth | 00032_depth | 00033_depth | 00036_depth | 00041_depth | 00055_depth | 00087_depth | 00124_depth | 00127_depth | 00128_depth | 00131_depth | 00133_depth | 00171_depth | 00175_depth | 00179_depth | 00193_depth | 00206_depth | 00220_depth | 00221_depth | 00270_depth | 00284_depth | 00297_depth | 00299_depth | 00300_depth | 00310_depth | 00316_depth | 00333_depth | 00334_depth | 00411_depth | 00412_depth | 00413_depth | 00441_depth | 00461_depth | 00463_depth | 00464_depth | 00509_depth | 00511_depth | 00512_depth | 00517_depth | 00566_depth | 00569_depth | 00570_depth | 00649_depth | 00650_depth | 00667_depth | 00687_depth | 00688_depth | 00689_depth | 00693_depth | 00696_depth | 00710_depth | 00716_depth | 00723_depth | 00725_depth | 00733_depth | 00774_depth | 00776_depth | 00780_depth | 00784_depth | 00834_depth | 00861_depth | 00933_depth | 00974_depth | 01003_depth | 01011_depth | 01031_depth | 01077_depth | 01097_depth | 01098_depth | 01149_depth | 01163_depth | 01205_depth | 01206_depth | 01253_depth | 01262_depth | 01285_depth | 01286_depth | 01303_depth | 01304_depth | 01306_depth | 01338_depth | 01339_depth | 01385_depth | 01406_depth | 01407_depth,motif_survival,0.006995802496591708,0.0032317725096000505,0.0038073506090301468,0.050924540615279734,0.020653868222259564,0.03883812552777566,0.006817476153455515,0.003088359221909087,0.0040600618813739775,0.007751937984496124,0.031007751937984496,0.007751937984496124
scene_loo:scene_auto_00,0.03,11,568,86,00001_depth | 00015_depth | 00032_depth | 00033_depth | 00036_depth | 00041_depth | 00055_depth | 00087_depth | 00124_depth | 00127_depth | 00128_depth | 00131_depth | 00133_depth | 00171_depth | 00175_depth | 00179_depth | 00193_depth | 00206_depth | 00220_depth | 00221_depth | 00270_depth | 00284_depth | 00297_depth | 00299_depth | 00300_depth | 00310_depth | 00316_depth | 00333_depth | 00334_depth | 00411_depth | 00412_depth | 00413_depth | 00441_depth | 00461_depth | 00463_depth | 00464_depth | 00509_depth | 00511_depth | 00512_depth | 00517_depth | 00566_depth | 00569_depth | 00570_depth | 00649_depth | 00650_depth | 00667_depth | 00687_depth | 00688_depth | 00689_depth | 00693_depth | 00696_depth | 00710_depth | 00716_depth | 00723_depth | 00725_depth | 00733_depth | 00774_depth | 00776_depth | 00780_depth | 00784_depth | 00834_depth | 00861_depth | 00933_depth | 00974_depth | 01003_depth | 01011_depth | 01031_depth | 01077_depth | 01097_depth | 01098_depth | 01149_depth | 01163_depth | 01205_depth | 01206_depth | 01253_depth | 01262_depth | 01285_depth | 01286_depth | 01303_depth | 01304_depth | 01306_depth | 01338_depth | 01339_depth | 01385_depth | 01406_depth | 01407_depth,motif_survival_pos_only,0.0037680870523874033,0.0020450424956511837,0.0029238240587973197,0.04769682517107543,0.019467138208310697,0.03795459897754283,0.0035897607092512107,0.0019016292079602204,0.0031765353311411504,0.09302325581395349,0.18604651162790697,0.007751937984496124
scene_loo:scene_auto_00,0.03,11,568,86,00001_depth | 00015_depth | 00032_depth | 00033_depth | 00036_depth | 00041_depth | 00055_depth | 00087_depth | 00124_depth | 00127_depth | 00128_depth | 00131_depth | 00133_depth | 00171_depth | 00175_depth | 00179_depth | 00193_depth | 00206_depth | 00220_depth | 00221_depth | 00270_depth | 00284_depth | 00297_depth | 00299_depth | 00300_depth | 00310_depth | 00316_depth | 00333_depth | 00334_depth | 00411_depth | 00412_depth | 00413_depth | 00441_depth | 00461_depth | 00463_depth | 00464_depth | 00509_depth | 00511_depth | 00512_depth | 00517_depth | 00566_depth | 00569_depth | 00570_depth | 00649_depth | 00650_depth | 00667_depth | 00687_depth | 00688_depth | 00689_depth | 00693_depth | 00696_depth | 00710_depth | 00716_depth | 00723_depth | 00725_depth | 00733_depth | 00774_depth | 00776_depth | 00780_depth | 00784_depth | 00834_depth | 00861_depth | 00933_depth | 00974_depth | 01003_depth | 01011_depth | 01031_depth | 01077_depth | 01097_depth | 01098_depth | 01149_depth | 01163_depth | 01205_depth | 01206_depth | 01253_depth | 01262_depth | 01285_depth | 01286_depth | 01303_depth | 01304_depth | 01306_depth | 01338_depth | 01339_depth | 01385_depth | 01406_depth | 01407_depth,motif_survival_neg_only,0.003352785568159211,0.0012418192834482422,0.0003642182327187049,0.04728152368684724,0.018663914996107756,0.035394993151464216,0.0031744592250230186,0.001098405995757279,0.0006169295050625356,0.14728682170542637,0.34108527131782945,0.24031007751937986
scene_loo:scene_auto_00,0.03,11,568,86,00001_depth | 00015_depth | 00032_depth | 00033_depth | 00036_depth | 00041_depth | 00055_depth | 00087_depth | 00124_depth | 00127_depth | 00128_depth | 00131_depth | 00133_depth | 00171_depth | 00175_depth | 00179_depth | 00193_depth | 00206_depth | 00220_depth | 00221_depth | 00270_depth | 00284_depth | 00297_depth | 00299_depth | 00300_depth | 00310_depth | 00316_depth | 00333_depth | 00334_depth | 00411_depth | 00412_depth | 00413_depth | 00441_depth | 00461_depth | 00463_depth | 00464_depth | 00509_depth | 00511_depth | 00512_depth | 00517_depth | 00566_depth | 00569_depth | 00570_depth | 00649_depth | 00650_depth | 00667_depth | 00687_depth | 00688_depth | 00689_depth | 00693_depth | 00696_depth | 00710_depth | 00716_depth | 00723_depth | 00725_depth | 00733_depth | 00774_depth | 00776_depth | 00780_depth | 00784_depth | 00834_depth | 00861_depth | 00933_depth | 00974_depth | 01003_depth | 01011_depth | 01031_depth | 01077_depth | 01097_depth | 01098_depth | 01149_depth | 01163_depth | 01205_depth | 01206_depth | 01253_depth | 01262_depth | 01285_depth | 01286_depth | 01303_depth | 01304_depth | 01306_depth | 01338_depth | 01339_depth | 01385_depth | 01406_depth | 01407_depth,motif_survival_binary,0.010967660083912256,0.006242288950956576,0.003948117307900234,0.05489639820260028,0.02366438466361609,0.038978892226645745,0.010789333740776064,0.006098875663265613,0.004200828580244065,0.007751937984496124,0.007751937984496124,0.007751937984496124
scene_loo:scene_auto_01,0.03,11,587,67,00173_depth | 00174_depth | 00180_depth | 00181_depth | 00183_depth | 00184_depth | 00185_depth | 00186_depth | 00199_depth | 00200_depth | 00201_depth | 00210_depth | 00263_depth | 00271_depth | 00296_depth | 00298_depth | 00301_depth | 00356_depth | 00429_depth | 00430_depth | 00432_depth | 00433_depth | 00434_depth | 00469_depth | 00470_depth | 00472_depth | 00507_depth | 00525_depth | 00530_depth | 00532_depth | 00590_depth | 00591_depth | 00611_depth | 00612_depth | 00616_depth | 00617_depth | 00618_depth | 00619_depth | 00620_depth | 00632_depth | 00633_depth | 00707_depth | 00764_depth | 00765_depth | 00833_depth | 00839_depth | 00840_depth | 00975_depth | 01037_depth | 01057_depth | 01116_depth | 01117_depth | 01146_depth | 01201_depth | 01249_depth | 01258_depth | 01263_depth | 01274_depth | 01278_depth | 01290_depth | 01297_depth | 01337_depth | 01367_depth | 01383_depth | 01410_depth | 01411_depth | 01413_depth,motif_survival,0.00803227464752454,0.0037013849879172778,0.004818936434400789,0.04804606066373196,0.02634318011880321,0.050165158004689014,0.007756992990736178,0.003482868000581063,0.005329860621763771,0.007751937984496124,0.015503875968992248,0.007751937984496124
scene_loo:scene_auto_01,0.03,11,587,67,00173_depth | 00174_depth | 00180_depth | 00181_depth | 00183_depth | 00184_depth | 00185_depth | 00186_depth | 00199_depth | 00200_depth | 00201_depth | 00210_depth | 00263_depth | 00271_depth | 00296_depth | 00298_depth | 00301_depth | 00356_depth | 00429_depth | 00430_depth | 00432_depth | 00433_depth | 00434_depth | 00469_depth | 00470_depth | 00472_depth | 00507_depth | 00525_depth | 00530_depth | 00532_depth | 00590_depth | 00591_depth | 00611_depth | 00612_depth | 00616_depth | 00617_depth | 00618_depth | 00619_depth | 00620_depth | 00632_depth | 00633_depth | 00707_depth | 00764_depth | 00765_depth | 00833_depth | 00839_depth | 00840_depth | 00975_depth | 01037_depth | 01057_depth | 01116_depth | 01117_depth | 01146_depth | 01201_depth | 01249_depth | 01258_depth | 01263_depth | 01274_depth | 01278_depth | 01290_depth | 01297_depth | 01337_depth | 01367_depth | 01383_depth | 01410_depth | 01411_depth | 01413_depth,motif_survival_pos_only,0.004568531574647983,0.002477640366743583,0.0037045876711477854,0.0445823175908554,0.025119435497629516,0.04905080924143601,0.004293249917859621,0.0022591233794073684,0.004215511858510768,0.03875968992248062,0.09302325581395349,0.007751937984496124
scene_loo:scene_auto_01,0.03,11,587,67,00173_depth | 00174_depth | 00180_depth | 00181_depth | 00183_depth | 00184_depth | 00185_depth | 00186_depth | 00199_depth | 00200_depth | 00201_depth | 00210_depth | 00263_depth | 00271_depth | 00296_depth | 00298_depth | 00301_depth | 00356_depth | 00429_depth | 00430_depth | 00432_depth | 00433_depth | 00434_depth | 00469_depth | 00470_depth | 00472_depth | 00507_depth | 00525_depth | 00530_depth | 00532_depth | 00590_depth | 00591_depth | 00611_depth | 00612_depth | 00616_depth | 00617_depth | 00618_depth | 00619_depth | 00620_depth | 00632_depth | 00633_depth | 00707_depth | 00764_depth | 00765_depth | 00833_depth | 00839_depth | 00840_depth | 00975_depth | 01037_depth | 01057_depth | 01116_depth | 01117_depth | 01146_depth | 01201_depth | 01249_depth | 01258_depth | 01263_depth | 01274_depth | 01278_depth | 01290_depth | 01297_depth | 01337_depth | 01367_depth | 01383_depth | 01410_depth | 01411_depth | 01413_depth,motif_survival_neg_only,0.003612168731410237,0.0012802667059187423,0.0012328076487804207,0.04362595474761766,0.023922061836804676,0.046579029219068646,0.003336887074621875,0.0010617497185825275,0.0017437318361434029,0.12403100775193798,0.3023255813953488,0.10852713178294573
scene_loo:scene_auto_01,0.03,11,587,67,00173_depth | 00174_depth | 00180_depth | 00181_depth | 00183_depth | 00184_depth | 00185_depth | 00186_depth | 00199_depth | 00200_depth | 00201_depth | 00210_depth | 00263_depth | 00271_depth | 00296_depth | 00298_depth | 00301_depth | 00356_depth | 00429_depth | 00430_depth | 00432_depth | 00433_depth | 00434_depth | 00469_depth | 00470_depth | 00472_depth | 00507_depth | 00525_depth | 00530_depth | 00532_depth | 00590_depth | 00591_depth | 00611_depth | 00612_depth | 00616_depth | 00617_depth | 00618_depth | 00619_depth | 00620_depth | 00632_depth | 00633_depth | 00707_depth | 00764_depth | 00765_depth | 00833_depth | 00839_depth | 00840_depth | 00975_depth | 01037_depth | 01057_depth | 01116_depth | 01117_depth | 01146_depth | 01201_depth | 01249_depth | 01258_depth | 01263_depth | 01274_depth | 01278_depth | 01290_depth | 01297_depth | 01337_depth | 01367_depth | 01383_depth | 01410_depth | 01411_depth | 01413_depth,motif_survival_binary,0.012529714620332366,0.0070350176026291455,0.004636330593912774,0.052543500636539786,0.02967681273351508,0.049982552164201,0.012254432963544004,0.006816500615292931,0.005147254781275756,0.007751937984496124,0.007751937984496124,0.007751937984496124
scene_loo:scene_auto_02,0.03,11,555,99,00028_depth | 00029_depth | 00031_depth | 00038_depth | 00058_depth | 00059_depth | 00076_depth | 00116_depth | 00191_depth | 00192_depth | 00197_depth | 00280_depth | 00357_depth | 00359_depth | 00388_depth | 00394_depth | 00443_depth | 00446_depth | 00473_depth | 00474_depth | 00475_depth | 00476_depth | 00516_depth | 00548_depth | 00554_depth | 00557_depth | 00558_depth | 00605_depth | 00606_depth | 00662_depth | 00671_depth | 00672_depth | 00676_depth | 00697_depth | 00708_depth | 00712_depth | 00727_depth | 00731_depth | 00732_depth | 00742_depth | 00743_depth | 00771_depth | 00803_depth | 00811_depth | 00812_depth | 00837_depth | 00849_depth | 00916_depth | 00927_depth | 00959_depth | 00960_depth | 00965_depth | 00971_depth | 00972_depth | 00990_depth | 00991_depth | 00992_depth | 01047_depth | 01048_depth | 01088_depth | 01092_depth | 01102_depth | 01125_depth | 01130_depth | 01143_depth | 01152_depth | 01153_depth | 01155_depth | 01161_depth | 01164_depth | 01170_depth | 01179_depth | 01182_depth | 01191_depth | 01193_depth | 01204_depth | 01211_depth | 01226_depth | 01228_depth | 01232_depth | 01234_depth | 01289_depth | 01328_depth | 01353_depth | 01354_depth | 01355_depth | 01364_depth | 01386_depth | 01387_depth | 01388_depth | 01396_depth | 01397_depth | 01398_depth | 01421_depth | 01423_depth | 01430_depth | 01432_depth | 01443_depth | 01444_depth,motif_survival,0.0076264859409906904,0.003583718626461452,0.0056299405245402445,0.04330281567232763,0.019602293679768068,0.04516896455096597,0.007464541854584117,0.0034459059074655185,0.0060663759425459984,0.007751937984496124,0.023255813953488372,0.007751937984496124
scene_loo:scene_auto_02,0.03,11,555,99,00028_depth | 00029_depth | 00031_depth | 00038_depth | 00058_depth | 00059_depth | 00076_depth | 00116_depth | 00191_depth | 00192_depth | 00197_depth | 00280_depth | 00357_depth | 00359_depth | 00388_depth | 00394_depth | 00443_depth | 00446_depth | 00473_depth | 00474_depth | 00475_depth | 00476_depth | 00516_depth | 00548_depth | 00554_depth | 00557_depth | 00558_depth | 00605_depth | 00606_depth | 00662_depth | 00671_depth | 00672_depth | 00676_depth | 00697_depth | 00708_depth | 00712_depth | 00727_depth | 00731_depth | 00732_depth | 00742_depth | 00743_depth | 00771_depth | 00803_depth | 00811_depth | 00812_depth | 00837_depth | 00849_depth | 00916_depth | 00927_depth | 00959_depth | 00960_depth | 00965_depth | 00971_depth | 00972_depth | 00990_depth | 00991_depth | 00992_depth | 01047_depth | 01048_depth | 01088_depth | 01092_depth | 01102_depth | 01125_depth | 01130_depth | 01143_depth | 01152_depth | 01153_depth | 01155_depth | 01161_depth | 01164_depth | 01170_depth | 01179_depth | 01182_depth | 01191_depth | 01193_depth | 01204_depth | 01211_depth | 01226_depth | 01228_depth | 01232_depth | 01234_depth | 01289_depth | 01328_depth | 01353_depth | 01354_depth | 01355_depth | 01364_depth | 01386_depth | 01387_depth | 01388_depth | 01396_depth | 01397_depth | 01398_depth | 01421_depth | 01423_depth | 01430_depth | 01432_depth | 01443_depth | 01444_depth,motif_survival_pos_only,0.004217392328090375,0.0023936492334659665,0.004824570828982244,0.03989372205942732,0.018412224286772583,0.04436359485540797,0.004055448241683801,0.002255836514470033,0.005261006246987998,0.06976744186046512,0.11627906976744186,0.007751937984496124
