motif_id,motif,weight_mean,weight_std,raw_lift_mean,raw_lift_std,count_mean,count_std,appearance_rate_top16,positive_weight_rate
0,"(0,0,0)",nan,nan,nan,nan,nan,nan,0.0,nan
1,"(0,0,+)",nan,nan,nan,nan,nan,nan,0.0,nan
2,"(0,0,-)",nan,nan,nan,nan,nan,nan,0.0,nan
3,"(0,0,~)",nan,nan,nan,nan,nan,nan,0.0,nan
4,"(0,+,0)",nan,nan,nan,nan,nan,nan,0.0,nan
5,"(0,+,+)",nan,nan,nan,nan,nan,nan,0.0,nan
6,"(0,+,-)",0.8288856510158236,0.012636338245584201,0.14303953265183544,0.003936643292640357,12331.4,297.3433032708152,1.0,1.0
7,"(0,+,~)",nan,nan,nan,nan,nan,nan,0.0,nan
8,"(0,-,0)",-0.755370057588975,0.008374766869771772,-0.12814385711081971,0.0014297268161668792,77080.0,4687.516015972638,1.0,0.0
9,"(0,-,+)",nan,nan,nan,nan,nan,nan,0.0,nan
10,"(0,-,-)",0.7643284709247701,0.019321062783831416,0.13063118938415,0.0032677484909736467,23273.5,624.0796824124304,1.0,1.0
11,"(0,-,~)",nan,nan,nan,nan,nan,nan,0.0,nan
12,"(0,~,0)",nan,nan,nan,nan,nan,nan,0.0,nan
13,"(0,~,+)",-0.6980161610190959,0.014384695135019204,-0.11901272204411716,0.001614965473989625,12028.0,246.55465925429192,0.5,0.0
14,"(0,~,-)",nan,nan,nan,nan,nan,nan,0.0,nan
15,"(0,~,~)",nan,nan,nan,nan,nan,nan,0.0,nan
16,"(+,0,0)",nan,nan,nan,nan,nan,nan,0.0,nan
17,"(+,0,+)",nan,nan,nan,nan,nan,nan,0.0,nan
18,"(+,0,-)",0.7651368756369428,0.008085728824443144,0.13085740474461416,0.00206047000317214,22035.0,590.7417371406899,1.0,1.0
19,"(+,0,~)",nan,nan,nan,nan,nan,nan,0.0,nan
20,"(+,+,0)",nan,nan,nan,nan,nan,nan,0.0,nan
21,"(+,+,+)",0.6932435275274946,0.009407719049733424,0.12281434615704163,0.0023396086236765327,7167.4,280.0782747733212,0.5,1.0
22,"(+,+,-)",0.9981154395454965,0.00565368136351031,0.17433144011375284,0.003208519015910954,7634.5,178.06978968932378,1.0,1.0
23,"(+,+,~)",nan,nan,nan,nan,nan,nan,0.0,nan
24,"(+,-,0)",nan,nan,nan,nan,nan,nan,0.0,nan
25,"(+,-,+)",0.8088054442656963,0.009840739173062845,0.13927117967799166,0.0015494218320418016,13630.1,223.56942993173286,1.0,1.0
26,"(+,-,-)",0.9851486211484541,0.005695268361776802,0.16952510171537677,0.002021930988454472,14197.0,181.83619001727902,1.0,1.0
27,"(+,-,~)",nan,nan,nan,nan,nan,nan,0.0,nan
28,"(+,~,0)",nan,nan,nan,nan,nan,nan,0.0,nan
29,"(+,~,+)",nan,nan,nan,nan,nan,nan,0.0,nan
30,"(+,~,-)",0.8471246355980203,0.009059111775871667,0.148693731522333,0.0029610175743622113,6600.2,179.29907975223966,1.0,1.0
31,"(+,~,~)",nan,nan,nan,nan,nan,nan,0.0,nan
32,"(-,0,0)",-0.7039348434351925,0.00383526478577022,-0.11967228957073103,0.0014971700101342176,43268.57142857143,2414.565495200378,0.7,0.0
33,"(-,0,+)",nan,nan,nan,nan,nan,nan,0.0,nan
34,"(-,0,-)",nan,nan,nan,nan,nan,nan,0.0,nan
35,"(-,0,~)",nan,nan,nan,nan,nan,nan,0.0,nan
36,"(-,+,0)",nan,nan,nan,nan,nan,nan,0.0,nan
37,"(-,+,+)",0.6960183457786787,0.00900446544849083,0.12256812430023172,0.002825768213388796,6791.125,176.21041222073114,0.8,1.0
38,"(-,+,-)",0.9682488630069042,0.007780063630076931,0.169204553963683,0.002746082795273205,7497.4,205.55009121866135,1.0,1.0
39,"(-,+,~)",nan,nan,nan,nan,nan,nan,0.0,nan
40,"(-,-,0)",nan,nan,nan,nan,nan,nan,0.0,nan
41,"(-,-,+)",0.6962888311973637,0.005904129108123802,0.1193991014607134,0.001858243909974767,12341.6,143.7408779714386,0.5,1.0
